"ISSN";"Title";"Geographical sphere";"Comprises"
"1697-4514";"La España moderna (Madrid)";"Madrid";"Del 01/01/1889 al 01/12/1914"
"1576-592X";"La España musical (Barcelona)";"Barcelona";"Del 04/01/1866 al 28/12/1867. Del n. 1 al n. 101"
"1576-3447";"La España musical (Madrid)";"Madrid";"Del 07/12/1886 al 14/03/1887. Del n. 1 al n. 14"
"2171-3308";"La España productora";"Madrid";"Del 07/07/1915 al 10/1919"
"2444-6092";"España productora y comercial";"Madrid";"Del n. 1 (1/1935) al n. 32 (12/1935)"
"2254-8947";"España sacro musical";"Barcelona";"Del n. 1 (15/1/1930) al n. 59 (15/12/1934)"
"1697-5774";"La España teatral";"Madrid";"Del n. 1 (7/9/1856) al n. 6 (12/10/1856)"
"2171-2891";"España y América";"Madrid";"Del 03/01/1892 al 25/12/1892"
"1889-5522";"España y América (Cádiz)";"Cádiz";"Del 9/1912 al 6/1936"
"0211-898X";"España y América (Madrid)";"Madrid";"Del 01/01/1903 al 31/12/1927"
"2171-6390";"España y Marruecos";"Madrid";"Del n. 1 (5/5/1935) al n. 10 (7/2/1936)"
"2050-2672";"El Español (Londres)";"Gran Bretaña";"Del 30/04/1810 al 05/1814. Del n. 1 al n. 47"
"2171-3030";"El Español (Madrid. 1835)";"Madrid";"Del 01/11/1835 al 16/04/1848. Del n. 1 al n. 1173"
"2254-5603";"El Español libre (Cádiz)";"Cádiz";"04/05/1813"
"1889-8688";"El Espectador (Madrid. 1821)";"Madrid";"Del 14/04/1821 al 31/03/1823"
"2171-7214";"El Espectador (Madrid. 1841)";"Madrid";"Del 01/08/1841 al 30/12/1848"
"2254-5611";"La Esperanza (Cádiz)";"Cádiz";"Del 05/01/1845 al 26/01/1845"
"1577-5283";"La Esperanza (Madrid. 1844)";"Madrid";"Del 10/10/1844 al 03/01/1874"
"2171-6706";"El Espiritismo (Sevilla)";"Sevilla";"Del 01/01/1872 al 15/12/1877"
"2174-050X";"El Espiritista (Madrid)";"Madrid";"Del 09/1878 al 12/1878. Del n. 9 al n. 12"
"1576-4699";"Espíritu de los mejores diarios literarios que se publican en Europa";"Madrid";"Del 02/07/1787 al 14/02/1791. Del n. 1 al n. 272"
"2486-4293";"Espíritu del siglo XIX contra las tinieblas y fanatismo del siglo XV";"Sevilla";"01/09/1821"
"2662-6985";"El Esquife (Habana)";"Cuba";"Del 1/9/1813 al 24/5/1814"
"1578-7060";"Esquitx (Barcelona)";"Barcelona";"Del n. 2 (1931) al n. 286 (1936)"
"2171-5440";"Estadística de las huelgas";"Madrid";"De 1906 a 1931"
"2485-2465";"Estadística general del comercio interior y exterior y agrícola de los territorios españoles del Africa Occidental";"Madrid";"De 1909 a 1911"
"2605-5651";"Estadística general por artículos del comercio exterior en los territorios españoles del África Occidental";"Madrid";"De 1912 a 1917"
"2485-3615";"Estadística penitenciaria (Madrid)";"Madrid";"De 1907 a 1933"
"2254-7746";"Estado general de todas las suertes de las corridas de toros verificadas en esta Corte";"Madrid";"Del 1852 al 1871"
"1579-1211";"Estado militar de España (Ed. en 16º)";"Madrid";"Del 1768 al 1863"
"2254-4747";"La Estafeta (Madrid. 1837)";"Madrid";"Del 01/07/1837 al 09/05/1838"
"2486-4315";"Estafeta de Santiago";"La Coruña";"28/01/1814"
"1889-8718";"Estampa (Madrid. 1928)";"Madrid";"Del 03/01/1928 al 08/01/1938"
"2173-237X";"El Estandarte (Madrid. 1845)";"Madrid";"Del n. 1 al 20 (1845)"
"2173-240X";"Estela (Málaga)";"Málaga";"De 1/1935 a 4/1940"
"2444-6858";"L'Estevet (Barcelona)";"Barcelona";"Del 26/8/1921 al 9/9/1923"
"2660-2350";"El Estímulo (Abanilla)";"Murcia";"2/12/1911"
"2254-4704";"La Estrella de occidente";"Granada";"Del 01/12/1879 al 01/09/1880"
"2253-6051";"El Estudiante (Salamanca)";"Salamanca";"Del 01/05/1925 al 10/01/1926"
"2254-5662";"Europa en África";"Madrid";"Del 01/1909 al 10/1909. Del n. 1 al n. 10"
"2171-8385";"Europa sur";"Cádiz";"De 1999 a 2009. 2015-"
"1134-640X";"Euskaldunon egunkaria";"Guipúzcoa";"Del 2/1/1999 al 31/12/1999"
"2173-948X";"La Evolución (Barcelona)";"Barcelona";"Del 01/07/1911 al 01/06/1915. Del n. 1 al n. 12"
"2253-7066";"Evolución (Madrid)";"Madrid";"Del n. 15 (15/7/1936)"
"2254-5166";"Exacto correo de España en La Coruña";"La Coruña";"Del 25/09/1814 al 30/09/1814"
"2254-5492";"Exacto diario en La Coruña";"La Coruña";"02/01/1815"
"1853-5992";"Éxito gráfico";"Argentina";"Del 09/1905 al 11/1907. Del n. 1 al n. 24"
"1576-3323";"Expansión de la actualidad económica diaria";"Madrid";"Del 27/05/1986 al 31/12/2009, 2017-"
"2172-6728";"Extracto del resumen formado por este centro, de las noticias y artículos más importantes que publican las revistas y periódicos militares extranjeros ...";"Madrid";"Del 10/1894 al 12/1901"
"2488-0833";"Extraordinario de Madrid en Sevilla de este correo";"Sevilla";"De 1813 a 1823"
"2218-7693";"Facetas de actualidad española";"Cuba";"Del 04/1937 al 08/1938. Del n. 1 al n. 8"
"2487-4116";"Falange (Las Palmas de Gran Canaria)";"Las Palmas";"Del 7/12/1936 al 22/6/1963"
"2254-5670";"El Fanal (Sevilla)";"Sevilla";"Del 19/11/1812 al 30/11/1812"
"1888-6531";"El Fandango (Barcelona)";"Barcelona";"Del 06/02/1891 al 13/11/1891"
"1887-5904";"El Fandango (Madrid)";"Madrid";"Del 15/12/1844 al 15/11/1846"
"2171-7206";"Faro (Madrid. 1908)";"Madrid";"Del 23/02/1908 al 28/02/1909"
"2341-4251";"El Faro (Palma de Mallorca)";"Baleares";"Del 15/5/1834 al 14/6/1834"
"1579-1165";"El Faro de Algeciras información";"Cádiz";"De 1999 a 2008"
"2386-5563";"El Faro de Ceuta (1956)";"Ceuta";"De 1999 a 2007"
"2172-069X";"El Faro de la niñez";"Madrid";"Del 1/10/1850 al 21/11/1851"
"1889-9528";"El Faro de salud";"Jaén";"01/10/1887"
"1131-8163";"Faro de Vigo";"Pontevedra";"Del 3/11/1853 al 31/12/2009"
"2173-2817";"Faro-guía de Madrid y su provincia";"Madrid";"1935"
"9970-8493";"El Farol (Puebla de Los Ángeles)";"México";"04/10/1821"
"2171-2883";"El Fascio (Madrid)";"Madrid";"16/03/1933"
"1963-0956";"Favorables París poema";"Francia";"Del 07/1926 al 10/1926. Del n. 1 al n. 2"
"2386-9933";"La Federación (Madrid. 1889)";"Madrid";"Del 5/8/1889 al 27/4/1890"
"2173-9838";"Federación Nacional de las Artes del Libro";"Madrid";"Del 02/1914 al 03/1915. Del n. 1 al n. 14"
"2660-2261";"El Federal salmantino";"Salamanca";"21/7/1872"
"2660-1516";"Fene solidario";"La Coruña";"15/10/1911"
"2254-1780";"Fénix (Madrid. 1935)";"Madrid";"Del n. 1 (27/2/1935) al n. 6 (27/12/1935)"
"2172-6221";"El Fénix (Valencia)";"Valencia";"Del n. 1 (5/10/1845) al n. 152 (27/8/1848)"
"2254-5697";"El Fernandino (Valencia)";"Valencia";"Del 16/04/1814 al 05/05/1814"
"2254-5689";"El Fernandino de Valencia en Madrid";"Madrid";"14/06/1814"
"2171-9829";"Ferrobellum (Madrid)";"Madrid";"n. 25 (18 jul. 1938)"
"2173-559X";"Fiat lux (Valencia)";"Valencia";"01/05/1927. N. 1"
"2172-5217";"Fidelio (Madrid)";"Madrid";"Del n. 1 (1/12/1902) al n. 27 (12/1903)"
"2171-5211";"La Fiesta brava (Barcelona)";"Barcelona";"Del 17/04/1926 al 17/07/1936. Del n. 1 al n. 465"
"2171-6188";"La Fiesta nacional (Barcelona)";"Barcelona";"Del 02/04/1904 al 28/12/1908"
"2171-7559";"El Fígaro (Madrid. 1879)";"Madrid";"Del 1/12/1879 al 29/6/1883"
"2530-3007";"El Fígaro (Madrid. 1918)";"Madrid";"Del 15/8/1918 al 1/4/1920"
"1889-7770";"Figurín de El Patrón americano";"Madrid";"Del 7/1907 al 12/1908. Del n. 1 al n. 18"
"2174-842X";"Filipinas ante Europa";"Madrid";"Del 25/10/1899 al 10/06/1901. Del n. 1 al n. 36"
"2172-3656";"La Filoxera (Madrid)";"Madrid";"Del 8/9/1878 al 30/7/1884"
"2171-522X";"El Financiero (Madrid)";"Madrid";"Del n. 881 (15/2/1918) al n. 2.175 (27/7/1936)"
"2171-5289";"El Financiero hispano-americano";"Madrid";"Del n. 132 (9/10/1903) al n. 880 (8/02/1918)"
"2172-590X";"Fin de siglo (Barcelona)";"Barcelona";"Del n. 3 (5/8/1891) al n. 4 (12/8/1891)"
"2340-4345";"Finisterre (Madrid. 1943)";"Madrid";"Del 1/1946 al 7/1946"
"2171-9470";"Firmeza (Guadalajara)";"Guadalajara";"Del n. 3 (1/8/1938) al n. 5 (11/1938)"
"1577-0087";"El Fiscal patriótico de España";"Madrid";"Del 11/10/1813 al 27/06/1814. Del n. 1 al n. 75"
"1577-922X";"La Fisiatría (Madrid)";"Madrid";"Del n. 187 (7/1934) al n. 211 (7/1936)"
"2171-8237";"La Física moderna";"Madrid";"Del 11/1887 al 3/1889"
"2254-5700";"La Flaca (Barcelona. 1869)";"Barcelona";"Del 27/03/1869 al 03/09/1871"
"2171-1739";"El Flamenco (Madrid)";"Madrid";"Del 12/04/1914 al 26/04/1914"
"2171-3383";"Flirt (Madrid)";"Madrid";"Del 09/02/1922 al 28/12/1922. Del n. 1 al n. 47"
"1886-6573";"La Floresta andaluza";"Sevilla";"Del 1/4/1843 al 31/7/1844"
"2254-4720";"La Floresta infantil";"Zaragoza";"Del 20/10/1855 al 20/12/1856"
"2171-3081";"El Folletín (Correo de Andalucía)";"Málaga";"Del 04/10/1874 al 31/12/1876"
"2341-4146";"El Fomento (Barcelona)";"Barcelona";"Del 2/1/1845 al 25/12/1849"
"2174-6214";"Fomento (Madrid. 1853)";"Madrid";"Del 31/08/1853 al 16/07/1855"
"2254-0415";"El Fomento de España";"Madrid";"Del 1 (1/11/1864) al n. 19 (1/8/1865)"
"2174-9744";"El Fomento literario";"Madrid";"Del 04/02/1864 al 18/12/1864"
"1889-2205";"Forma (Barcelona)";"Barcelona";"Del 1904 al 1908. Del n. 1 al 26"
"0426-9799";"El Foro español (Madrid. 1898)";"Madrid";"Del 10/1/1898 al 31/12/1923"
"2171-8253";"La Fotografía (Barcelona. 1886)";"Barcelona";"De 1886 a 1887"
"2484-4284";"Fotos (San Sebastián)";"Guipúzcoa";"De 1937 a 1963"
"2172-5462";"Fototipias (Madrid)";"Madrid";"n. 1 (29/11/1900)"
"2254-5794";"Fr. Gerundio";"León";"Del 01/04/1837 al 05/02/1844"
"2340-7018";"Fr. Gerundio, boletín de noticias";"Madrid";"Del 10/11/1838 al 5/3/1841"
"2340-3446";"El Fraile (Madrid)";"Madrid";"Del n. 1 (1/10/1869) al n. 43 (5/8/1870)"
"2444-6084";"Le Franc-observateur de littérature et de beaux-arts";"Baleares";"Del n. 1 (5/7/1849) al n. 4 (26/7/1849)"
"2174-0518";"La Fraternidad universal";"Madrid";"De 01/1893 al 12/1894"
"2254-5816";"Fray Gerundio, boletín de noticias";"Madrid";"Del n. 138 (4/1/1842) al n. 290 (30/6/1842)"
"2174-971X";"El Fray Gerundio de ogaño";"Madrid";"Del 08/08/1872 al 31/12/1872"
"2386-9941";"Fray Lazo";"Madrid";"Del n. 1 (13/8/1931) al n. 44 (16/11/1932)"
"2386-9984";"Fray Tinieblas";"Madrid";"Del n. 1 (1/5/1855) al n. 25 (10/9/1855)"
"2254-0741";"Fray Verás (Madrid)";"Madrid";"Del 22/9/1877 al 30/3/1879"
"2173-0989";"Frégoli (Barcelona)";"Barcelona";"Del n. 1 (6/10/1898) al n. 12 (22/12/1898)"
"2386-9976";"Frente libertario (Madrid)";"Madrid";"Del n. 6 (20/10/1936) al 734 (24/3/1939)"
"2341-426X";"Frente rojo";"Valencia";"Del 23/2/1937 al 21/1/1939"
"2254-1810";"Fuego (Barcelona. 1930)";"Barcelona";"Del n. 18 (2/1932) al n. 27 (11/1934)"
"1576-2610";"Fuera de serie (Madrid)";"Madrid";"2017-"
"2172-6167";"Fuerza (Madrid)";"Madrid";"Del n. 1 (1/4/1932) al n. 42 (1/5/1936)"
"2171-5238";"El Fusil (Madrid)";"Madrid";"Del 17/04/1899 al 28/12/1912"
"2171-6412";"Gaceta agrícola del Ministerio de Fomento";"Madrid";"Del 8/1876 al 12/1894"
"1889-7754";"La Gaceta andaluza";"Jaén";"Del 09/1919 al 02/1920"
"2604-5729";"Gaceta de Barcelona (1750)";"Barcelona";"Del 8/9/1759 al 3/11/1802"
"2128-4296";"Gaceta de Bayona";"Francia";"Del n. 1 (3/2/1828) al n. 196 (16/8/1830)"
"1576-3854";"La Gaceta de Canarias";"Santa Cruz de Tenerife";"Del 2/1/1999 al 31/12/2007"
"2254-5824";"Gaceta de instrucción pública";"Madrid";"Del 01/02/1889 al 30/12/1907"
"2254-5832";"Gaceta de instrucción pública y bellas artes";"Madrid";"Del 05/01/1908 al 26/09/1917"
"1698-2266";"La Gaceta de las artes gráficas del libro y de la industria del papel";"Barcelona";"Del 01/10/1923 al 01/09/1938"
"9949-1710";"Gaceta del Gobierno de Lima (1810)";"Perú";"Del 06/05/1815 al 19/01/1821"
"2253-6035";"Gaceta del libro";"Valencia";"Del 03/1935 al 07/1936. Del n. 5 al  n. 21"
"1889-9986";"Gaceta de los caminos de hierro";"Madrid";"Del 01/01/1856 al 01/06/1934"
"1134-3931";"La Gaceta de los negocios";"Madrid";"De 1999 a 2009"
"2444-6076";"Gaceta de los tribunales o Causas y hechos célebres del reino y extranjeros";"Madrid";"1841"
"2660-3225";"Gaceta del practicante";"Madrid";"7/1936"
"2171-3200";"Gaceta de penales y de policía";"Madrid";"Del 16/11/1900 al 11/03/1901"
"2660-1915";"La Gaceta de policía";"Madrid";"28/1/1911"
"0212-3630";"La Gaceta de sanidad militar";"Madrid";"Del 10/01/1875 al 25/12/1884"
"2254-6987";"Gaceta economista (Periódico semanal)";"Madrid";"Del 28/05/1860 al 26/10/1863"
"2254-4518";"Gaceta española";"Sevilla";"Del 11/04/1823 al 04/10/1823"
"2486-8051";"Gaceta extraordinaria de la provincia de Soria";"Soria";"28/12/1812"
"2172-5322";"La Gaceta galante";"Madrid";"n. 7 (7/4/1932)"
"1131-4494";"Gaceta homeopática";"Madrid";"Del 1848 al 30/08/1849"
"1131-4516";"Gaceta homeopática de Madrid";"Madrid";"Del 10/04/1845 al 30/08/1849"
"2444-636X";"La Gaceta industrial";"Madrid";"Del 7/1/1865 al 25/12/1890"
"2444-6394";"Gaceta industrial y ciencia eléctrica";"Madrid";"Del 10/1/1891 al 25/6/1891"
"2254-6979";"Gaceta jurídica de guerra y marina";"Madrid";"Del 15/01/1908 al 01/05/1936"
"1575-7226";"La Gaceta literaria (Madrid. 1927)";"Madrid";"Del 01/01/1927 al 01/12/1931. Del n. 1 al n. 119"
"1889-9994";"Gaceta literaria y musical de España";"Madrid";"Del 15/10/1843 al 24/02/1844"
"0214-4247";"Gaceta médica (Madrid)";"Madrid";"Del 10/01/1845 al 30/12/1853"
"2485-3968";"Gaceta musical (Barcelona)";"Barcelona";"03/1930. N. 10"
"1887-3693";"La Gaceta musical barcelonesa";"Barcelona";"Del 04/10/1863 al 03/12/1865"
"1697-5766";"Gaceta musical de Madrid (Madrid. 1855)";"Madrid";"Del 4/2/1855 al 28/12/1856"
"1697-6096";"Gaceta musical de Madrid (Madrid. 1865)";"Madrid";"Del 05/10/1865 al 07/03/1878. Del n. 1 al n. 43"
"2387-1083";"Gaceta patriótica del ejército nacional (Reimp. en Cádiz)";"Cádiz";"Del n. 1 (25/1/1820) al n. 36 (26/5/1820)"
"2387-1105";"Gaceta patriótica del ejército nacional (Reimp. en Sevilla)";"Sevilla";"21/03/1820"
"1889-5506";"Gaceta política";"Madrid";"Del 01/05/1908 al 01/05/1909. Del n. 1 al n. 21"
"2386-2122";"La Gaceta regional de Salamanca";"Salamanca";"De 1999 a 2009, 2016-"
"2171-0007";"El Gaditano (Cádiz)";"Cádiz";"Del 01/11/1845 al 04/04/1846"
"2174-4866";"Galería (Madrid. 1936)";"Madrid";"15/01/1936. N. 1"
"1698-8426";"Galicia (La Coruña. 1887)";"La Coruña";"Del 01/1887 al 12/1888"
"2172-6574";"Galicia en Madrid (Madrid. 1932)";"Madrid";"Del n.7 (1/7/1932) al n. 41 (7/1935) "
"1696-2389";"Galicia hoxe (Ed. impresa)";"La Coruña";"Del 17/5/2003 al 31/12/2008"
"1577-614X";"El Gallego (Pontevedra)";"Pontevedra";"Del 01/12/1862 al 10/06/1863"
"1699-0110";"El Gallo crisis (Orihuela)";"Alicante";"Del 1934 al 1935. Del n. 1 al n. 5"
"1695-8969";"Gara (Donostia)";"Guipúzcoa";"Del 2/1/2009 al 31/12/2009"
"1886-1636";"El Garbanzo (Madrid)";"Madrid";"Del 18/07/1872 al 24/04/1873"
"2172-0649";"El Gato escondido";"Madrid";"N. 1 (1820)"
"2171-0015";"Gazeta de Ayamonte";"Huelva";"Del 18/07/1810 al 14/11/1810"
"1577-0222";"Gazeta de Bollullos";"Sevilla";"10/10/1812"
"2659-5435";"Gazeta de Bvrgos";"Burgos";"1/10/1706. n. 13"
"2486-4331";"Gazeta de Cádiz";"Cádiz";"Del 01/02/1811 al 23/02/1811"
"9952-6581";"Gazeta de Caracas";"Venezuela";"Del 24/10/1808 al 15/07/1818"
"2486-434X";"Gazeta de Cataluña";"Barcelona";"Del 31/10/1813 al 03/02/1814"
"2486-4358";"Gazeta de Extremadura";"Badajoz";"05/11/1812"
"2486-4366";"Gazeta de la Junta-Congreso del Reyno de Valencia";"Valencia";"26/03/1811"
"2486-4382";"Gazeta de la Junta Superior de la Mancha";"Albacete";"Del 26/04/1811 al 30/05/1812"
"2486-4390";"Gazeta de la provincia de la Mancha";"Ciudad Real";"Del 02/01/1813 al 15/05/1813"
"2486-4412";"Gazeta del comercio de Cádiz";"Cádiz";"Del 01/08/1809 al 26/08/1809"
"0212-1247";"Gazeta del Gobierno (Sevilla)";"Sevilla";"Del 06/01/1809 al 08/08/1809"
"9969-6940";"Gazeta del gobierno de México";"México";"Del 2/01/1810 al 9/02/1835"
"2486-0468";"Gazeta del infierno";"Madrid";"13/08/1808"
"9969-4166";"Gazeta de Lisboa";"Portugal";"Del 27/12/1808 al 26/12/1812"
"2171-004X";"Gazeta de los pueblos inmediatos a Madrid";"Cádiz";"1808"
"0187-1021";"Gazeta de México (1728)";"México";"Del n. 1 (1/1728) al n. 145 (12/1739)"
"0188-3801";"Gazeta de México (1784)";"México";"Del 14/01/1784 al 30/12/1809"
"2486-4404";"Gazeta de Murcia";"Murcia";"Del 15/07/1809 al 18/06/1814"
"2254-4666";"Gazeta de Oviedo";"Asturias";"Del 02/07/1808 al 31/08/1808"
"2327-3143";"Gazeta de Puerto-Rico";"Puerto Rico";"Del 23/10/1811 al 04/11/1815"
"1576-818X";"Gazeta de Sevilla";"Sevilla";"Del 31/12/1811 al 30/03/1814"
"2171-0058";"Gazeta de Valencia";"Valencia";"Del 01/07/1808 al 04/07/1810"
"2254-4844";"Gazeta de Zaragoza";"Zaragoza";"Del 14/08/1808 al 07/03/1820"
"1576-9143";"Gazeta diaria de Londres en Sevilla";"Sevilla";"Del 20/09/1813 al 01/10/1813"
"2254-4836";"Gazeta general";"Sevilla";"1683"
"2253-6116";"Gazeta militar y política del Principado de Cataluña";"Tarragona";"Del 15/01/1811 al 02/02/1811"
"0212-1239";"Gazeta ministerial de Sevilla";"Sevilla";"Del 16/07/1808 al 23/07/1808. Del n. 14 al n. 16"
"1889-8734";"Gedeón (Madrid)";"Madrid";"Del 14/11/1895 al 13/10/1912"
"2172-9778";"El Genio (Algeciras)";"Cádiz";"Del n. 7 (18/3/1849) al n. 11 (15/4/1849)"
"2171-0074";"El Genio de la libertad";"Baleares";"Del 01/09/1839 al 19/08/1857"
"0214-428X";"El Genio médico-quirúrgico";"Madrid";"Del 7/1/1867 al 31/12/1882"
"0214-4271";"El Genio quirúrgico";"Madrid";"Del 07/01/1861 al 22/12/1866. Del n. 277 al n. 557"
"2254-4690";"El Genio y el arte";"Madrid";"Del 01/01/1883 al 18/12/1888. Del n. 22 al n. 77"
"2174-4335";"Gente conocida (Cádiz)";"Cádiz";"Del 01/02/1937 al 31/03/1938. Del n. 1 al  n. 42"
"2340-5775";"Gente menuda (Barcelona)";"Barcelona";"N. 104 (25/1/1930)        "
"2174-8861";"Gente vieja";"Madrid";"Del 12/1900 al 25/10/1905. Del n. 1 al n. 142"
"2172-542X";"Germania (Barcelona)";"Barcelona";"Del n. 1 (1/3/1915) al n. 20 (15/12/1915)"
"2660-2415";"Germinal (Santa Cruz de Tenerife)";"Santa Cruz de Tenerife";"7/10/1911"
"1577-6158";"Gil Blas (Madrid. 1864)";"Madrid";"Del 26/11/1864 al 29/09/1872"
"1885-8562";"Gil Blas (Madrid. 1882)";"Madrid";"Del 29/01/1882 al 01/06/1882"
"2660-1826";"Gipuzkoarra (Donostia)";"Guipúzcoa";"21/05/1901"
"2171-0082";"El Globo (Madrid. 1875)";"Madrid";"Del 25/03/1875 al 31/05/1932. Del n. 1 al n. 16640"
"0213-926X";"El Globo (Madrid. 1987)";"Madrid";"Del 9/10/1987 al 12/9/1988"
"1889-8874";"El Globo ilustrado";"Madrid";"Del 01/06/1866 al 16/08/1867. Del n. 1 al n. 30"
"2487-7980";"Gol (Madrid)";"Madrid";"Del 1/11/1941 al 30/6/1945"
"1885-2467";"Los Golfos del arte";"Madrid";"Del 01/11/1907 al 18/02/1908"
"2605-423X";"El Gorro blanco";"Madrid";"Del 1/9/1906 al 2/1946"
"2171-2875";"Gracia y justicia";"Madrid";"Del 05/09/1931 al 15/02/1936"
"1697-1361";"Granada hoy";"Granada";"2015-"
"2174-5935";"El Gran Bvfón";"Madrid";"Del 22/12/1912 al 03/05/1913. Del n. 1 al n. 19"
"2660-1303";"El Granito (Salamanca)";"Salamanca";"5/1910"
"1698-3386";"La Gran Vía (Madrid)";"Madrid";"Del 02/07/1893 al 14/12/1895"
"1889-8424";"Gran vida";"Madrid";"Del 01/07/1903 al 01/12/1929"
"2171-3693";"Graphos ilustrado";"Madrid";"Del 01/1906 al 12/1907"
"2387-2039";"El Gratis (Madrid)";"Madrid";"Del 01/08/1842 al 14/01/1843"
"1699-3896";"Grecia (Sevilla)";"Sevilla";"Del 12/10/1918 al 01/11/1920"
"2386-9992";"El Grito de guerra";"Madrid";"Del n. 1 (18/6/1871) al n. 14 (9/9/1871)"
"2444-0760";"Guadalajara 2000";"Guadalajara";"De 2000 a 2007"
"2173-9633";"El Guadalaviar (Valencia)";"Valencia";"Del 07/11/1858 al 08/09/1859. Del n. 1 al n. 36"
"1885-0472";"El Guadalhorce (Málaga)";"Málaga";"Del 10/03/1839 al 27/12/1840"
"2253-9441";"Guadalquivir (Sevilla)";"Sevilla";"Del 1/1933 al 9/1933"
"2171-0163";"El Guardia nacional (Barcelona)";"Barcelona";"Del 01/07/1836 al 28/10/1841"
"2171-5882";"La Guasa (Barcelona)";"Barcelona";"Del 19/09/1892 al 05/12/1892"
"2171-3073";"La Guerra ilustrada";"Barcelona";"Del n. 1 al n. 166"
"2173-2426";"La Guerra y su preparación";"Madrid";"De 5/1916 a 12/1931"
"2253-6124";"Los Guerrilleros por la religión, la patria y el rey o Diario-polémico-religioso de La Coruña";"La Coruña";"1813. Del n. 1 al n. 79"
"0212-5250";"Guía de editores y libreros";"Madrid";""
"2335-4577";"Guía de forasteros de la siempre fiel Isla de Cuba y calendario manual";"Cuba";"1844"
"1579-1076";"Guía de forasteros en Madrid";"Madrid";"Del 1838 al 1872"
"2605-2377";"Guía de hoteles de España (Sevilla)";"Sevilla";"1917"
"2485-6312";"Guía del estado eclesiástico de España";"Madrid";"1862"
"2485-6304";"Guía del estado eclesiástico seglar y regular, de España en particular, y de toda la Iglesia Católica en general";"Madrid";"1818 y 1831"
"2171-0104";"Guía de litigantes y pretendientes";"Madrid";"Del 1786 al 1842"
"1698-8361";"Guía del peluquero y barbero";"Madrid";"Del 01/01/1873 al 01/09/1880"
"2173-9846";"Guía del turismo en Cádiz y su provincia";"Cádiz";"De 1934 a 1935"
"2605-4604";"Guía del viagero en Sevilla";"Sevilla";"1872"
"1886-211X";"Guía de Sevilla, su provincia";"Sevilla";"Del 1865 al 1896"
"2444-6815";"Guía diplomática y consular de España";"Madrid";"1908"
"2605-4612";"Guía-indicador de La Coruña y de Galicia";"La Coruña";"1890/1891"
"2173-626X";"Guía industrial y artística del centro";"Madrid";"De 1930 a 1933/1934"
"2444-6823";"Guía-manual de Cádiz";"Cádiz";"Del 1877 al 1878"
"1579-1084";"Guía oficial de España";"Madrid";"Del 1873 al 1935"
